Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
TWTR,45.3,Call,47,9/13/2019,8,0.32,0.33,0.34,0.35,17990,120,149.92,35.46%,9/5/2019
NVDA,179.74,Put,175,9/6/2019,1,0.25,0.26,0.27,0.26,11242,146,77,44.68%,9/5/2019
MNK,1.59,Call,5,1/15/2021,498,0.55,0.63,0.7,0.65,40488,870,46.54,152.99%,9/5/2019
GPN,174.84,Put,170,9/20/2019,15,1.1,1.33,1.55,1.06,9111,199,45.78,20.77%,9/5/2019
RTN,185.27,Call,200,10/18/2019,43,0.72,0.79,0.87,0.76,5173,115,44.98,18.70%,9/5/2019
AMD,31.5,Put,26,10/4/2019,29,0.15,0.16,0.16,0.15,10663,250,42.65,49.48%,9/5/2019
BAC,28.12,Put,28,9/6/2019,1,0.12,0.13,0.13,0.13,55804,1332,41.89,31.48%,9/5/2019
DOCU,46.25,Put,45,10/18/2019,43,2.65,2.7,2.75,2.7,4965,126,39.4,53.53%,9/5/2019
INTC,50.1,Call,50.5,9/13/2019,8,0.56,0.58,0.59,0.58,4544,116,39.17,25.38%,9/5/2019
INTC,50.1,Call,50.5,9/6/2019,1,0.13,0.15,0.16,0.14,5609,170,32.99,28.31%,9/5/2019
LK,20.19,Call,20.5,9/13/2019,8,0.5,0.53,0.55,0.55,4293,154,27.88,57.45%,9/5/2019
AMZN,1840.72,Put,1830,9/6/2019,1,3.45,3.7,3.95,3.7,3629,131,27.7,20.80%,9/5/2019
BABA,178.94,Call,175,12/20/2019,106,14.75,15.03,15.3,14.8,5673,205,27.67,32.06%,9/5/2019
ATVI,54.58,Call,56,9/6/2019,1,0.07,0.08,0.09,0.09,3252,131,24.82,44.77%,9/5/2019
AMZN,1840.72,Put,1820,9/6/2019,1,1.65,1.76,1.86,1.78,3563,148,24.07,21.93%,9/5/2019
CECO,20.4,Put,15,11/15/2019,71,0.05,0.2,0.35,0.12,3000,125,24,48.47%,9/5/2019
TSLA,229.58,Put,207.5,9/27/2019,22,2.83,2.88,2.93,2.83,2595,110,23.59,48.68%,9/5/2019
LULU,188.41,Call,205,9/13/2019,8,3.4,3.45,3.5,3.45,2291,100,22.91,81.95%,9/5/2019
WORK,30.01,Call,27,9/20/2019,15,2.95,3.33,3.7,3.5,3360,156,21.54,66.43%,9/5/2019
C,66.34,Call,67.5,9/6/2019,1,0.05,0.06,0.07,0.06,4114,193,21.32,28.36%,9/5/2019
MET,45.95,Call,50,11/15/2019,71,0.45,0.46,0.48,0.47,10359,493,21.01,20.99%,9/5/2019
TPR,22.92,Call,24,9/20/2019,15,0.25,0.33,0.4,0.3,2510,120,20.92,37.30%,9/5/2019
JPM,112.37,Put,112,9/6/2019,1,0.44,0.45,0.47,0.46,3181,153,20.79,26.91%,9/5/2019
TWTR,45.3,Call,44,3/20/2020,197,6.7,6.78,6.85,6.73,2201,110,20.01,44.72%,9/5/2019
EZPW,7.86,Put,2.5,3/20/2020,197,0,0.03,0.05,0.04,2800,140,20,87.92%,9/5/2019
CMCSA,46.41,Call,47,9/20/2019,15,0.53,0.55,0.57,0.56,9992,511,19.55,21.33%,9/5/2019
NTAP,51.76,Put,50,12/20/2019,106,3.15,3.25,3.35,3.31,2262,118,19.17,39.14%,9/5/2019
MNK,1.59,Put,1,1/17/2020,134,0.3,0.32,0.35,0.35,4154,218,19.06,209.78%,9/5/2019
C,66.34,Put,66.5,9/6/2019,1,0.49,0.5,0.51,0.51,3608,191,18.89,30.81%,9/5/2019
FTCH,9.34,Call,16,1/17/2020,134,0.3,0.32,0.35,0.33,15230,828,18.39,75.29%,9/5/2019
HIMX,2.07,Call,2,3/20/2020,197,0.35,0.4,0.45,0.4,3968,219,18.12,59.83%,9/5/2019
NVDA,179.74,Put,177.5,10/4/2019,29,5.8,5.9,6,5.85,2170,123,17.64,35.11%,9/5/2019
ZM,92.69,Call,105,10/18/2019,43,3.4,3.65,3.9,3.7,2237,129,17.34,62.23%,9/5/2019
FIZZ,40.65,Put,50,1/17/2020,134,10.6,11.7,12.8,11.48,2006,116,17.29,54.94%,9/5/2019
MU,49.03,Put,48.5,9/27/2019,22,2.2,2.22,2.24,2.24,1738,101,17.21,52.92%,9/5/2019
FB,190.9,Put,105,11/15/2019,71,0,0.03,0.05,0.03,2329,144,16.17,50.02%,9/5/2019
ATVI,54.58,Put,52.5,10/18/2019,43,1.49,1.52,1.54,1.55,2393,151,15.85,34.17%,9/5/2019
LVS,56.13,Call,57.5,9/6/2019,1,0,0.03,0.05,0.05,2005,128,15.66,35.77%,9/5/2019
AEO,16.28,Put,16.5,9/13/2019,8,0.5,0.58,0.65,0.6,2536,165,15.37,50.27%,9/5/2019
INTC,50.1,Call,52,9/6/2019,1,0,0.01,0.02,0.02,3175,207,15.34,41.61%,9/5/2019
NVDA,179.74,Put,175,9/13/2019,8,1.84,1.86,1.88,1.86,4243,282,15.05,36.22%,9/5/2019
WFC,47.62,Call,48.5,9/6/2019,1,0.02,0.03,0.04,0.04,2546,171,14.89,28.85%,9/5/2019
AMRN,16,Put,15.5,9/20/2019,15,0.44,0.59,0.73,0.62,3198,216,14.81,66.98%,9/5/2019
ZUMZ,27.6,Call,30,9/20/2019,15,1.1,1.18,1.25,1.15,1746,120,14.55,91.67%,9/5/2019
LULU,188.41,Call,217.5,9/6/2019,1,0.59,0.75,0.9,0.71,2074,144,14.4,192.63%,9/5/2019
NIO,2.95,Call,2.5,9/27/2019,22,0.46,0.51,0.55,0.47,3288,235,13.99,53.17%,9/5/2019
PANW,212.05,Put,205,9/6/2019,1,0.05,0.1,0.15,0.14,2643,189,13.98,43.28%,9/5/2019
SNAP,15.87,Call,16.5,9/20/2019,15,0.34,0.35,0.35,0.35,63335,4588,13.8,46.58%,9/5/2019
TWTR,45.3,Call,46,9/6/2019,1,0.11,0.12,0.13,0.12,4137,300,13.79,38.64%,9/5/2019
CXO,70.36,Put,60,10/18/2019,43,0.75,0.85,0.95,0.77,1507,112,13.46,45.16%,9/5/2019
ARWR,31.84,Put,30,1/17/2020,134,2.85,3.28,3.7,3.5,3015,224,13.46,60.21%,9/5/2019
FCX,9.53,Put,15,6/19/2020,288,5.6,5.65,5.7,5.59,5333,399,13.37,46.60%,9/5/2019
NXPI,106,Call,107,9/20/2019,15,1.96,2.01,2.07,2.04,2544,191,13.32,28.67%,9/5/2019
